2020-04-29/23:09:43		 wafer_13012020_090817.csv: File Transformed successfully!!
2020-04-29/23:09:44		 wafer_16012020_051629.csv: File Transformed successfully!!
2020-04-29/23:09:45		 wafer_20022020_090716.csv: File Transformed successfully!!
2020-04-29/23:09:45		 wafer_21012020_080913.csv: File Transformed successfully!!
2020-04-29/23:09:46		 wafer_23012020_041211.csv: File Transformed successfully!!
2020-04-29/23:09:46		 wafer_27012020_080911.csv: File Transformed successfully!!
2020-04-29/23:09:47		 wafer_28012020_090817.csv: File Transformed successfully!!
2020-04-29/23:09:48		 wafer_28042020_031911.csv: File Transformed successfully!!
2020-04-29/23:09:48		 wafer_29012020_050617.csv: File Transformed successfully!!
2020-05-06/19:34:53		 wafer_13012020_090817.csv: File Transformed successfully!!
2020-05-06/19:34:54		 wafer_16012020_051629.csv: File Transformed successfully!!
2020-05-06/19:34:54		 wafer_20022020_090716.csv: File Transformed successfully!!
2020-05-06/19:34:54		 wafer_21012020_080913.csv: File Transformed successfully!!
2020-05-06/19:34:55		 wafer_23012020_041211.csv: File Transformed successfully!!
2020-05-06/19:34:56		 wafer_27012020_080911.csv: File Transformed successfully!!
2020-05-06/19:34:57		 wafer_28012020_090817.csv: File Transformed successfully!!
2020-05-06/19:34:57		 wafer_28042020_031911.csv: File Transformed successfully!!
2020-05-06/19:34:58		 wafer_29012020_050617.csv: File Transformed successfully!!
2020-05-06/20:42:07		 wafer_13012020_090817.csv: File Transformed successfully!!
2020-05-06/20:42:07		 wafer_16012020_051629.csv: File Transformed successfully!!
2020-05-06/20:42:08		 wafer_20022020_090716.csv: File Transformed successfully!!
2020-05-06/20:42:09		 wafer_21012020_080913.csv: File Transformed successfully!!
2020-05-06/20:42:10		 wafer_23012020_041211.csv: File Transformed successfully!!
2020-05-06/20:42:10		 wafer_27012020_080911.csv: File Transformed successfully!!
2020-05-06/20:42:12		 wafer_28012020_090817.csv: File Transformed successfully!!
2020-05-06/20:42:13		 wafer_28042020_031911.csv: File Transformed successfully!!
2020-05-06/20:42:14		 wafer_29012020_050617.csv: File Transformed successfully!!
2020-05-06/21:08:51		 wafer_13012020_090817.csv: File Transformed successfully!!
2020-05-06/21:08:52		 wafer_16012020_051629.csv: File Transformed successfully!!
2020-05-06/21:08:52		 wafer_20022020_090716.csv: File Transformed successfully!!
2020-05-06/21:08:53		 wafer_21012020_080913.csv: File Transformed successfully!!
2020-05-06/21:08:54		 wafer_23012020_041211.csv: File Transformed successfully!!
2020-05-06/21:08:54		 wafer_27012020_080911.csv: File Transformed successfully!!
2020-05-06/21:08:55		 wafer_28012020_090817.csv: File Transformed successfully!!
2020-05-06/21:08:56		 wafer_28042020_031911.csv: File Transformed successfully!!
2020-05-06/21:08:56		 wafer_29012020_050617.csv: File Transformed successfully!!
2020-05-06/22:40:48		 wafer_13012020_090817.csv: File Transformed successfully!!
2020-05-06/22:40:49		 wafer_16012020_051629.csv: File Transformed successfully!!
2020-05-06/22:40:49		 wafer_20022020_090716.csv: File Transformed successfully!!
2020-05-06/22:40:49		 wafer_21012020_080913.csv: File Transformed successfully!!
2020-05-06/22:40:50		 wafer_23012020_041211.csv: File Transformed successfully!!
2020-05-06/22:40:50		 wafer_27012020_080911.csv: File Transformed successfully!!
2020-05-06/22:40:51		 wafer_28012020_090817.csv: File Transformed successfully!!
2020-05-06/22:40:52		 wafer_28042020_031911.csv: File Transformed successfully!!
2020-05-06/22:40:52		 wafer_29012020_050617.csv: File Transformed successfully!!
2020-05-06/23:44:22		 wafer_13012020_090817.csv: File Transformed successfully!!
2020-05-06/23:44:23		 wafer_16012020_051629.csv: File Transformed successfully!!
2020-05-06/23:44:24		 wafer_20022020_090716.csv: File Transformed successfully!!
2020-05-06/23:44:25		 wafer_21012020_080913.csv: File Transformed successfully!!
2020-05-06/23:44:26		 wafer_23012020_041211.csv: File Transformed successfully!!
2020-05-06/23:44:26		 wafer_27012020_080911.csv: File Transformed successfully!!
2020-05-06/23:44:27		 wafer_28012020_090817.csv: File Transformed successfully!!
2020-05-06/23:44:29		 wafer_28042020_031911.csv: File Transformed successfully!!
2020-05-06/23:44:29		 wafer_29012020_050617.csv: File Transformed successfully!!
